Case Number,Year,Type,Country,Area,Location,Activity,Sex,Injury,Fatal,Species
2004.01.15.R,2004,Boat,SOUTH AFRICA,KwaZulu-Natal,Ballito,Surf skiing,M,No injury,N,"Mako shark, 3 m to 4 m [10' to 13'] "
2004.01.12,2004,Unprovoked,AUSTRALIA,New South Wales,Bushrangers Pass at Bass Point,Diving,M,No injury,N,"Raggedtooth shark, 3.5 m [11.5'] "
2004.01.07,2004,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"West Beach, Port Alfred",Surfing,M,Injured,N,Raggedtooth shark
2004.01.03.a,2004,Sea Disaster,EGYPT,Sinai Peninsula,Off Sharm El-Sheikh,Air disaster. Flash Airlines Boeing 737 crashed into the Red Sea,0,Fatal,Y,
2004.00.00,2004,Unprovoked,AUSTRALIA,Western Australia,Redgate Beach,Surfing,M,No injury,N,
2003.12.31,2003,Boat,SOUTH AFRICA,KwaZulu-Natal,Salt Rock ,,0,No injury,N,Shortfin mako shark
2003.12.13.b,2003,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Swimming,M,Bitten,N,
2003.12.13.a,2003,Unprovoked,NEW ZEALAND,Cook Islands,Pukapuka Northern Group,Swimming / shipwreck,M,Fatal,Y,
2003.12.08,2003,Unprovoked,AUSTRALIA,Victoria,Collendina Beach east of Ocean Grove,Surfing amid a shoal of sharks,M,No injury,N,
2003.11.30.b,2003,Unprovoked,AUSTRALIA,Western Australia,Perth? (Margaret River District),Swimming,M,Bitten,N,"Wobbegong shark, 1.2 m [4'] "
2003.11.30.a,2003,Unprovoked,AUSTRALIA,Western Australia,Perth? (Margaret River District),Swimming,M,Bitten,N,"Wobbegong shark, 1.2 m [4'] "
2003.11.27,2003,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Sodwana,Spearfishing,M,Fatal,Y,"Tiger shark, 4 m [13']  ?"
2003.11.22,2003,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Surfing,F,Severed,N,4' shark
2003.11.12.b,2003,Unprovoked,INDIA,Tamilnadu,"Mahabalipuram beach, 37 km south of Chennai",Swimming or surfing,M,Injured,N,Tiger shark?
2003.11.12.a,2003,Unprovoked,USA,Florida,"South Jetty, New Smyrna Beach, Volusia County",Surfing,M,Injured,N,
2003.11.06.b,2003,Unprovoked,EGYPT,Sinai Peninsula,"Shaab Mahmud, Ras Mohamed Park",Snorkeling,M,Injured,N,2.5 oceanic whitetip shark
2003.11.06.a,2003,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Karridene,Surf skiing,0,No injury,N,White shark
2003.11.01,2003,Unprovoked,AUSTRALIA,New South Wales,"Seal Rocks, north of Newcastle",Standing,M,Injured,N,
2003.11.00,2003,Provoked,PANAMA,Pearl Islands,,Spearfishing,M,Bitten,N,"Nurse shark, 60 cm to 90 cm [2' to 3'] "
2003.10.31.c,2003,Unprovoked,USA,Florida,"Ponte Vedra Beach, St. Johns County",Surfing,M,Bitten,N,1.2 m to 1.5 m [4' to 5'] shark
2003.10.31.b,2003,Unprovoked,AUSTRALIA,New South Wales,"Lighthouse Beach, Seal Rocks",Surfing,M,Injured,N,"1.5 m [5'] shark, either a bronze whaler or a grey nurse shark"
2003.10.31.a,2003,Unprovoked,USA,Hawaii,"Tunnels surf break off Makua Beach, Kaua'i",Surfing,F,Severed,N,"Tiger shark, 14' "
2003.10.27,2003,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Injured,N,
2003.10.14,2003,Unprovoked,USA,Florida,Near Patrick Air Force Base Brevard County,Surfing,M,Bitten,N,1.2 m [4'] shark
2003.10.05.e,2003,Unprovoked,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",Surfing,F,Injured,N,
2003.10.05.d,2003,Unprovoked,USA,Florida,"Stuart Park Beach, Martin County",Surfing,M,Injured,N,
2003.10.05.c,2003,Provoked,USA,Florida,"South Jetty, New Smyrna Beach, Volusia County",Surfing,M,Bitten,N,
2003.10.05.b,2003,Unprovoked,USA,Florida,"Crawford Road beach approach at New Smyrna Beach, Volusia County",Sitting on surfboard,M,Bitten,N,
2003.10.05.a,2003,Unprovoked,USA,Hawaii,"Cove Beach / Kalama Beach, Kihei, Maui",Wading near a fishing net,F,Injured,N,"1.2 m [4'] ""grey-colored shark"""
2003.09.29,2003,Unprovoked,FIJI,Taveuni,Welagi coastal reef off Drekeniwai,Wading to shore from his boat,M,Fatal,Y,
2003.09.28,2003,Unprovoked,USA,Florida,"North Hutchinson Island, St. Lucie Couny",Surfing,M,Injured,N,
2003.09.21,2003,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,Bitten,N,
2003.09.19,2003,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,Injured,N,
2003.09.17,2003,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Injured,N,
2003.09.14.c,2003,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Injured,N,3' shark
2003.09.14.b,2003,Boat,SOUTH AFRICA,Western Cape Province,Melkbosstrand,Fishing ,0,No injury,N,2 m cow shark
2003.09.13.b,2003,Unprovoked,USA,Florida,"Daytona Beach, Volusia County ",Body boarding,M,Injured,N,6' shark
2003.09.13.a,2003,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County","Standing, stepped on shark",M,Injured,N,7' shark
2003.09.12,2003,Unprovoked,SOUTH AFRICA,Western Cape Province,Near the wreck of the Kakapo off Noordhoek Beach,Body boarding,M,Fatal,Y,White shark
2003.09.00,2003,Unprovoked,USA,Florida,"Boca Grande, Lee County",Wade-fishing,M,Injured,N,
2003.08.29,2003,Provoked,USA,Texas,1.5 miles off Surfside ,Fishing,M,Bitten,N,1.2 m [4'] bull shark
2003.08.19,2003,Unprovoked,USA,California,"Avila Beach, San Luis Obispo County","Swimming, wearing black wetsuit & swim fins",F,Fatal,Y,4.5 m to 5.5 m [15' to 18'] white shark
2003.08.08,2003,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Jeffreys Bay,Sitting on surfboard,M,No injury,N,3.5 m [11.5'] white shark
2003.07.26.R,2003,Unprovoked,AUSTRALIA,Northern Territory,Nhulunbuy,Surf skiing,M,No injury,N,
2003.07.20,2003,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,Injured,N,
2003.07.15,2003,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Wading,F,Injured,N,
2003.07.09,2003,Unprovoked,BAHAMAS,Abaco Islands,Bakers Bay,Spearfishing,M,Bitten,N,Unidentified species
2003.07.05.b,2003,Provoked,USA,Florida,"Near New Smyrna Jetty, Volusia County","Walking, carrying surfboard & stepped on shark",M,Injured,N,2' shark
2003.07.05.a,2003,Unprovoked,USA,Florida,"Canova Beach, Brevard County",Surfing,M,Bitten,N,1.5 m to 1.8 m [5' to 6'] shark
2003.07.04,2003,Unprovoked,BAHAMAS,Abaco Islands,10 miles west of Walkers Cay,Spearfishing,M,Bitten,N,2.1 m  [7'] bull shark
2003.07.00.c,2003,Unprovoked,USA,Florida,"Fort Lauderdale, Broward County",Spearfishing,M,Injured,N,8' great hammerhead shark
2003.07.00.b,2003,Unprovoked,FRENCH POLYNESIA,Society Islands,Moorea,Spearfishing,M,Bitten,N,
2003.07.00.a,2003,Unprovoked,NEW ZEALAND,Cook Islands,Beveridge Reef,Snorkeling,M,Bitten,N,Grey reef shark
2003.06.30,2003,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Injured,N,Unidentified species
2003.06.26,2003,Unprovoked,USA,Florida,St Augustine Beach. St. Johns County,Surfing,M,Injured,N,106 cm [3.5']  shark
2003.06.24.c,2003,Unprovoked,BRAZIL,Pernambuco,"Piedade, Recife",,M,Fatal,Y,
2003.06.24.b,2003,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",Standing,F,Injured,N,small brown shark
2003.06.24.a,2003,Unprovoked,USA,Hawaii,"Makua Beach, Oahu",Swimming with pod of dolphins,M,Bitten,N,3.7 m to 4.3 m [12' to 14'] shark
2003.06.22,2003,Unprovoked,USA,Johnston Atoll,,Swimming,M,Bitten,N,Unidentified species
2003.06.19,2003,Unprovoked,USA,North Carolina,"Masonboro Island, New Hanover County",Surfing ,M,Bitten,N,"""sand shark"""
2003.06.08,2003,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,0,Injured,N,
2003.05.25,2003,Unprovoked,USA,Florida,"Coral Cove Park, Jupiter Inlet, Palm Beach County",Surfing,M,Injured,N,
2003.05.14,2003,Unprovoked,USA,Florida,"Ponce de Leon Inlet, Volusia County ",Wading,M,Bitten,N,3' to 5' shark
2003.05.10,2003,Unprovoked,USA,Hawaii,Between Magic Sands Beach and Kahaluu Beach on the Kona coast,Swimming,M,Bitten,N,1.8 m [6'] reef shark - or a 2.1 m to 2.4 m [7' to 8'] grey-colored shark
2003.05.07,2003,Provoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Bitten,N,4' to 5' shark
2003.05.03,2003,Unprovoked,USA,Florida,"Daytona Beach Shores, Volusia County",Walking,F,Injured,N,
2003.05.00,2003,Unprovoked,PHILIPPINES,Baatan,Limay,,0,Severed,N,White shark
2003.04.26,2003,Provoked,BRAZIL,Rio de Janeiro,"Copacabana Beach, Rio de Janiero",Killing  sharks,M,Injured,N,
2003.04.25,2003,Unprovoked,BRAZIL,Rio de Janeiro,"Copacabana Beach, Rio de Janiero",Swimming ,M,Bitten,N,
2003.04.23.b,2003,Unprovoked,BRAZIL,Pernambuco,"Pau Amarelo Beach, Paulista District (17 km from Recife)",Surfing,M,Severed,N,Bull shark
2003.04.23.a,2003,Unprovoked,BRAZIL,Rio de Janeiro,"Copacabana Beach, Rio de Janiero",Swimming,M,Injured,N,
2003.04.21.b,2003,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County ",Surfing,M,Bitten,N,Unidentified species
2003.04.21.a,2003,Unprovoked,USA,Florida,"Shepard Park, Cocoa Beach, Brevard County ",Surfing,M,Unknown,N,Unidentified species
2003.04.20.c,2003,Unprovoked,USA,Florida,"Playalinda Beach, Brevard County",Surfing,M,Bitten,N,Unidentified species
2003.04.20.b,2003,Unprovoked,USA,Florida,"Sunglow Pier, Daytona Beach Shores, Volusia County",Surfing,M,Injured,N,0.9 m to 1.2 m [3' to 4'] shark
2003.04.20.a,2003,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Bitten,N,Unidentified species
2003.04.19,2003,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County  ",Jumping,M,Bitten,N,A small shark
2003.04.18,2003,Unprovoked,USA,Florida,"North Beach, Patrick AFB, Brevard County",Surfing,M,Injured,N,Unidentified species
2003.04.15,2003,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",Swimming (using a float),M,Injured,N,"15 cm to 20 cm [6"" to 8""] bite diameter just below left knee"
2003.04.11,2003,Unprovoked,VENEZUELA,Nueva Esparta,"El Yaqu, Isla de Margarita",Surfing,M,Severed,N,"Mako shark, 3 m [10']"
2003.04.09,2003,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Surfing,M,Injured,N,
2003.04.04,2003,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Bitten,N,4' to 5' shark
2003.03.10,2003,Provoked,USA,Florida,"Petting Tank, Florida Aquarium, Tampa, Hillsborough County",Petting captive sharks,F,Injured,N,60 cm [2'] captive shark
2003.02.27,2003,Unprovoked,NEW ZEALAND,Southland,East side of Bench Island in the Foveaux Strait,Scuba diving,M,Injured,N,2.5 m [8.25'] white shark
2003.02.15.b,2003,Unprovoked,AUSTRALIA,South Australia,"Goolwa Beach, Fleurieu Peninsula",Wading,M,Injured,N,"""a small shark"""
2003.02.15.a,2003,Unprovoked,USA,Florida,"Jupiter, Palm Beach County",Swimming,M,Bitten,N,Species unidentified
2003.02.11,2003,Unprovoked,AUSTRALIA,New South Wales,"Coogee Bay, near Sydney",Swimming,M,Injured,N,Thought to involve a 2 m [6.75'] grey nurse shark
2003.02.08,2003,Unprovoked,AUSTRALIA,Queensland,Burleigh Lake on the Gold Coast,Swimming,M,Fatal,Y,Thought to involve a >2 m [6.75'] bull shark
2003.01.03,2003,Unprovoked,COSTA RICA,North Pacific coast,Playa Tamarindo ,Surfing,M,Injured,N,"Bull shark, 7'"
2003.01.02,2003,Unprovoked,AUSTRALIA,Western Australia,Left break at the Hot Spot at Sheringa Beach,Surfing,F,No injury,N,"Bronze whaler shark, 2.5 m [8.25'] "
2002.12.29,2002,Unprovoked,AUSTRALIA,Queensland,Great Barrier Reef  (near Upolu Bay),Snorkeling,F,Injured,N,Reported to involve a hammerhead shark
2002.12.24,2002,Unprovoked,SOUTH AFRICA,Western Cape Province,Scarborough,Snorkeling,M,Injured,N,"White shark, 4 m white shark"
2002.12.21,2002,Unprovoked,AUSTRALIA,Queensland,Depth of 40 m on the wreck of the St. Paul off Brisbane,Scuba diving,M,Bitten,N,"Wobbegong shark, 1m"
2002.12.16,2002,Unprovoked,AUSTRALIA,Queensland,Miami Lake,Swimming,M,Fatal,Y,Bull shark
2002.12.01,2002,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",Surfing,M,Fatal,Y,
2002.11.28.b,2002,Unprovoked,MICRONESIA,Caroline Islands,"Pision Reef, Truk",Scuba diving,M,Injured,N,Blacktip shark
2002.11.28.a,2002,Unprovoked,USA,California,"Salmon Creek, Sonoma County",Body boarding,M,Severed,N,3 m to 4.5 m [10' to 15'] white shark
2002.11.17,2002,Unprovoked,USA,Hawaii,Ka'anapali,Swimming,F,Bitten,N,2.4 m to 3 m [8' to 10'] grey colored shark
2002.11.14,2002,Unprovoked,TURKS & CAICOS,Caicos Bank,French Cay,Snorkeling,F,Severed,N,1.8 m to 2.1 m [6' to 7']  Caribbean Reef Shark 
2002.11.11,2002,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,Injured,N,6' shark
2002.11.02,2002,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Boogie boarding,M,Injured,N,3' to 4' shark
2002.11.00.a,2002,Unprovoked,FRENCH POLYNESIA,Society Islands,Tetiaroa,"Fishing, standing in 2' of water",M,Injured,N,
2002.10.30,2002,Unprovoked,USA,Hawaii,"Kama'ole Beach Park I, Kihei, Maui",Swimming,F,Bitten,N,A small shark
2002.10.14,2002,Unprovoked,BRAZIL,Pernambuco,"Piedade Beach, Jaboatão dos Guararapes City, Recife",Swimming,M,Fatal,Y,Possibly a bull shark or tiger shark
2002.10.11,2002,Unprovoked,USA,Florida,"Opposite main gate at Patrick Air Force Base, Cape Canaveral, Brevard County",Surfing,M,Bitten,N,
2002.10.05.b,2002,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Injured,N,Blacktip or spinner shark
2002.10.05.a,2002,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Injured,N,3.5' to 4.5' shark
2002.10.03,2002,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Injured,N,3.5' to 4' shark
2002.09.30,2002,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",Surfing,M,Severed,N,4' to 5' shark
2002.09.29,2002,Unprovoked,USA,Florida,"Sebastian Inlet, Brevard County",Surfing,M,Bitten,N,
2002.09.27.c,2002,Unprovoked,USA,Hawaii,"Kahala, O'ahu",Fishing from Surfboard,M,No injury,N,1.2 m [4'] blacktip shark
2002.09.27.b,2002,Provoked,USA,Florida,"Key Largo, Monroe County",Fishing,M,Injured,N,1.8 m [6'] blacktip shark
2002.09.27.a,2002,Provoked,TONGA,Vava'u,Swimming with humpback whales,Swimming,M,Injured,N,"Tiger shark, 1.5 m [5']k"
2002.09.21.b,2002,Unprovoked,USA,Oregon,Cape Kiwanda,Boogie boarding or Surfing,M,Injured,N,2.4 m [8'] shark
2002.09.21.a,2002,Unprovoked,USA,California,"Moonstone Beach, Humboldt County",Surfing,M,No injury,N,3 m to 3.7 m [10' to 12'] shark
2002.09.16.b,2002,Unprovoked,BRAZIL,Pernambuco,"Piedade Beach, Jaboatão dos Guararapes City",Swimming,M,Severed,N,Bull or tiger shark
2002.09.16.a,2002,Unprovoked,USA,Hawaii,"Hideaways Beach, Princeville, Kaua'i",Body boarding,0,No injury,N,
2002.09.13,2002,Unprovoked,SOUTH AFRICA,Western Cape Province,"Glencairn, False Bay",Surf skiing,M,No injury,N,White shark
2002.09.09,2002,Unprovoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Boogie boarding,M,Bitten,N,4' to 6' shark
2002.09.05,2002,Provoked,USA,Florida,"Daytona Beach Shores, Volusia County","Wading, when he stepped on the shark",M,Injured,N,1' to 2' hammerhead or bonnethed shark
2002.08.28,2002,Unprovoked,USA,Hawaii,"Kewalo Basin Channel, O'ahu",Surfing,M,Injured,N,"Tiger shark, 2.4 m to 3 m [8' to 10'] "
2002.08.17,2002,Unprovoked,USA,Alabama,"Gulf of Mexico, 65 miles offshore from Mobile",Swimming,F,Bitten,N,
2002.08.14,2002,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Bitten,N,0.9 m  to 1.2 m [3' to 4'] shark
2002.08.11,2002,Unprovoked,USA,Florida,"Vero Beach, Indian River County",Surfing,M,Injured,N,"Nurse shark, 1.5 m [5'] "
2002.08.07,2002,Unprovoked,USA,Florida,"Ponce De Leon Inlet, Volusia County",Standing,M,Injured,N,
2002.08.06.R,2002,Provoked,UNITED KINGDOM,Cheshire,"Blue Planet Aquarium, Ellesmere Port",Diving,M,Bitten,N,"Sandtiger shark, 3 m [10'] "
2002.08.05,2002,Unprovoked,USA,North Carolina,"Topsail Beach, Pender County",Standing,M,Injured,N,1.2 m to 1.5 m [4' to 5'] shark
2002.07.26,2002,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",Surfing,M,Bitten,N,1.2 m [4'] blacktip or sandbar shark
2002.07.20,2002,Unprovoked,USA,North Carolina,"Emerald Isle, Carteret County",Swimming,F,Bitten,N,"Bull shark, 1.8 m to 2.1 m [6' to 7'] "
2002.07.10,2002,Provoked,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,Injured,N,
2002.07.09.b,2002,Provoked,USA,Maryland,"100 miles off Ocean City, Maryland, in 7000' of water",Shark Fishing,M,Fatal,Y,"Mako shark, 400-lb "
2002.07.09.a,2002,Unprovoked,BRAZIL,Pernambuco,"Piedade Beach, Recife",Surfing,M,Severed,N,Bull or tiger shark
2002.07.04,2002,Unprovoked,USA,North Carolina,"Wrightsville Beach, New Hanover County",Standing,F,Bitten,N,"1.2 m to 1.5 m [4' to 5'] shark, possibly a bull shark"
2002.06.20.b,2002,Unprovoked,AUSTRALIA,Queensland,Sunshine Beach,Surfing,M,Injured,N,
2002.06.20.a,2002,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Swimming,F,Injured,N,
2002.06.13.R2,2002,Unprovoked,PAPUA NEW GUINEA,Louisiade Archipelago,"Brooker Island , Calvados Chain",,0,Severed,N,
2002.06.13.R1,2002,Unprovoked,PAPUA NEW GUINEA,Louisiade Archipelago,"Gawa Reefs, Sudest Island",Attempting to retreive a dinghy,0,Fatal,Y,
2002.06.11.b,2002,Unprovoked,USA,Hawaii,"Anini Beach, Kaua'i",Sitting on surfboard,0,No injury,N,"Tiger shark, 2.4 m to 2.7 m [8' to 9']  "
2002.06.11.a,2002,Unprovoked,USA,Florida,"St Augustine Beach, St Johns County",Surfing,M,Injured,N,0.9 m to 1.2 m [3' to 4'] shark; Tooth fragment recovered from hand
2002.06.09.b,2002,Unprovoked,USA,Florida,"South of Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,Injured,N,  
2002.06.09.a,2002,Unprovoked,USA,Florida,"Jensen Beach, Martin County ",Swimming,M,Injured,N,
2002.06.03,2002,Unprovoked,SOUTH AFRICA,KwaZulu-Natal between Port Edward and Port St Johns,Off Mkhambati ,Snorkeling (filming the sardine run),M,Bitten,N,1.5 to 2.5 m [5' to 8.25'] copper shark
2002.05.31.b,2002,Unprovoked,USA,California,"Stinson Beach, Marin County",Surfing,M,Injured,N,3.7 m to 4.3 m [12' to 14'] white shark
2002.05.31.a,2002,Unprovoked,USA,Florida,"St. George Island (near Apachicola), Franklin County",Floating on a raft,M,Injured,N,1 m  shark
2002.05.22.b,2002,Provoked,USA,Florida,"a pier at the end of Caxambas Drive, Marco Island ","Fishing, removing the shark from his line",M,Bitten,N,3' blacktip shark
2002.05.22.a,2002,Unprovoked,USA,Florida,"Atlantic Avenue, Palm Beach County",Playing in the surf with his 2 dogs,M,Injured,N,
2002.05.21.R,2002,Unprovoked,COSTA RICA,Guanacaste,Playa Grande,Surfing,M,Unknown,N,"Bull shark, 1.8 m to 2.1 m [6' to 7'] "
2002.05.21,2002,Unprovoked,PAPUA NEW GUINEA,Milne Bay Province,Tewatewa Island,Collecting beche-de-mer,M,Injured,N,
2002.05.13,2002,Unprovoked,USA,Florida,"Ten Thousand Islands National Wildlife Refuge, Collier County",Fishing,M,Injured,N,2.1 m to 2.4 m [7' to 8'] shark
2002.05.10,2002,Unprovoked,BRAZIL,Pernambuco,"Pina, Recife",Surfing,M,Injured,N,
2002.04.30,2002,Unprovoked,AUSTRALIA,South Australia,"Smoky Bay, near Ceduna, on the Eyre Peninsula",Scallop diving (using surface-supplied air & a POD) ,M,Fatal,Y,"White shark, 6m [20']"
2002.04.20,2002,Unprovoked,USA,Florida,"St. Augustine Beach, St. Johns County","Surfing, but standing in water alongside board",M,Bitten,N,1.2 m [4'] shark
2002.04.18,2002,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Bitten,N,
2002.04.12,2002,Unprovoked,AUSTRALIA,New South Wales,"Bar Beach, Newcastle",Swimming,M,Bitten,N,
2002.04.09,2002,Unprovoked,BAHAMAS,Abaco Islands,Walkers Cay,Standing,M,Bitten,N,"Bull shark, 400-lb "
2002.04.02,2002,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,M,Injured,N,3'  shark
2002.04.01,2002,Unprovoked,USA,Florida,"Lauderdale-By-The-Sea, Broward County",Swimming / Wading,M,Bitten,N,0.9 m [3'] shark
2002.03.25.b,2002,Unprovoked,USA,Hawaii,"Brenecke Beach, Po'ipu, Kaua'i",Body-boarding,M,Severed,N,Tiger shark
2002.03.25.a,2002,Unprovoked,USA,Florida,"Cocoa Beach, Brevard County",Wading,F,Bitten,N,  
2002.03.24,2002,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",Swimming,M,Fatal,Y,
2002.03.19,2002,Unprovoked,USA,Florida,"Daytona Beach Shores, Volusia County",Swimming /  boogie boarding,M,Injured,N,4' shark
2002.03.15.b,2002,Unprovoked,USA,Florida,"Deerfield Beach (near Boca Raton), Broward County",Snorkeling,M,Bitten,N,"Nurse shark, 1m "
2002.03.15.a,2002,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,Severed,N,"Spinner shark, 3' to 4' "
2002.02.23,2002,Unprovoked,TURKS & CAICOS,,,Capsized fishing boat,M,Fatal,Y,
2002.02.16,2002,Unprovoked,AUSTRALIA,Queensland,Sunshine Beach,Surfing,M,Bitten,N,"1.5 m [5'] ""whaler shark"""
2002.02.11,2002,Unprovoked,FIJI,Cikobia Island (north of Vanua Levu),,,M,Fatal,Y,
2002.02.07,2002,Unprovoked,AUSTRALIA,New South Wales,Paramatta River (near Sydney),Kayaking,M,Bitten,N,C. leucas tooth fragment recovered from kayak
2002.01.30.b,2002,Unprovoked,AUSTRALIA,New South Wales,Just north of Fingal Spit,Surfing,M,Injured,N,"Tiger shark, 3 m [10']"
2002.01.30.a,2002,Unprovoked,AUSTRALIA,Western Australia,Collie River ,Swimming,M,Injured,N,
2002.01.04,2002,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Durban Harbor,Fishing,M,Severed,N,Zambesi shark?
2002.01.03,2002,Unprovoked,BRAZIL,Pernambuco,Candeias,Swimming,0,Fatal,Y,
2002.01.01.b,2002,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Mtunzini,Surf skiing,M,Bitten,N,Unidentified
2002.01.01.a,2002,Unprovoked,USA,Hawaii,"Olowalu, Maui",Snorkeling,M,Injured,N,"Tiger shark, 1.8 m [6'] "
2001.11.23,2001,Unprovoked,AUSTRALIA,New South Wales,"Flat Rock Beach, Lennox Head",Surfing,M,Injured,N,Bronze whaler shark
2001.11.14,2001,Unprovoked,USA,Hawaii,"Kapalua, Maui",Surfing,0,No injury,N,
2001.10.07,2001,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Salt Rock ,Kite-Boarding,M,No injury,N,"Mako shark, 2 m [6.75'] "
2001.10.02,2001,Unprovoked,AUSTRALIA,Queensland,200 miles offshore,Snorkeling,F,Injured,N,Bronze whaler shark?
2001.09.30.b,2001,Unprovoked,MEXICO,Guerrero,Ixtapa,Body surfing,M,Injured,N,"Tiger shark, 1.8 m [6']"
